Sample ID,Species,State,Project,Cleaned to 50𝜇l,Qubit reading 1 (ng/uL),Qubit reading 2 (ng/uL),Qubit average,DNA in tube (ng),"uL for 0.5 ug DNA (if over 1000 uL, use whole sample)",Amount of TE to add,Normalized (Letter for rack for yes),Library made,Note,Collector,Collector number,Locality,County,State,,Latitude,Longitude,Source,,,Verbatim latitude,Verbatim longitude
H42:2,Heuchera parishii,CA,genus,,3.52,3.48,3.5,3500,142.86,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,34.2113167,-116.79042,,,,34°12.679' N,116°47.425' W
H43:2,Heuchera parishii,CA,genus,,3.69,3.52,3.605,3605,138.70,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,43,"Sugarloaf Mountain, CA, USA",,,,34.20005,-116.79368,,,,34°12.003' N,116°47.621' W
H44:2,Heuchera elegans,CA,genus,,6.3,6.13,6.215,6215,80.45,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk ,44,"Talus above road to Crystal Lake, 0.5 mi from Hwy 39, CA, USA",,,,43.3156667,-117.84228,,,,43°18.940' N, 117°50.537' W
H45:1,Heuchera abramsii,CA,genus,,2.03,1.95,1.99,1990,251.26,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,45,"Mount Baldy, CA, USA",,,,34.2903833,-117.64563,,,,34°17.423’ N,117°38.738' W
H45:2,Heuchera abramsii,CA,genus,,17.6,17.5,17.55,17550,28.49,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,45,"Mount Baldy, CA, USA",,,,34.2903833,-117.64563,,,,34°17.423’ N,117°38.738' W
H46:1,Heuchera abramsii,CA,genus,,0.404,0.382,0.393,393,Use whole sample,Vacuum centrifuge then add 25 uL,,2/6/20,Input 10 uL,,,,,,,34.2874,-117.65382,,,,34°17.244' N,117°39.229' W
H46:2,Heuchera abramsii,CA,genus,,23,22.5,22.75,22750,21.98,3.02,,2/6/20,,,,,,,,34.2874,-117.65382,,,,34°17.244' N,117°39.229' W
H50:2,Heuchera parvifolia,CA,genus,,2.42,2.39,2.405,2405,207.90,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,50,"McAfee Meadow, White Mountains, Mono County, CA, USA",,,,37.5776667,-118.23147,,,,37°34.660' N,118°13.888' W
H51:1,Heuchera bracteata,CO,genus,,7.69,7.4,7.545,7545,66.27,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,51,"Echo Lake, CO",,,,39.6588889,-104.39778,,,,"39°39'32""","-105°36'08"""
H51:2,Heuchera bracteata,CO,genus,,10.8,10.7,10.75,10750,46.51,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,51,"Echo Lake, CO",,,,39.6588889,-104.39778,,,,"39°39'32""","-105°36'08"""
H52:2,Heuchera bracteata,CO,genus,,9.17,8.99,9.08,9080,55.07,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,52,"Dowdy Lake, CO, USA",,,,40.8008333,-105.55806,,,,40°48'03° N,"105°33'29"" W"
H53:2,Heuchera parvifolia,CO,genus,,3.89,3.87,3.88,3880,128.87,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,53,"Poudre Canyon Hwy, CO, USA",,,,40.695,-105.28389,,,,"40°41'42"" N","105°17'02"" W"
H54:1,Heuchera bracteata,CO,genus,,3,2.79,2.895,2895,172.71,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,40.6922222,-104.62583,,,,"40°41'32""","-105°22'27"""
H54:2,Heuchera bracteata,CO,genus,,0.382,0.376,0.379,379,Use whole sample,Vacuum centrifuge then add 25 uL,,2/6/20,Input 10 uL,,,,,,,40.6922222,-104.62583,,,,"40°41'32""","-105°22'27"""
H55:2,Heuchera parvifolia,CO,genus,,5.62,5.38,5.5,5500,90.91,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,55,"Along Rock Creek Hills Road, Lost Park, CO, USA",,,,39.3497222,-105.69028,,,,"39°20'59"" N","105°41'25"" W"
H56:2,Heuchera hallii,CO,genus,,13.1,13.1,13.1,13100,38.17,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,56,"Along Rock Creek Hills Road, Lost Park, CO, USA",,,,39.2869444,-105.52472,,,,"39°17'13"" N","105°31'29"" W"
