Accession,Species,Notes,State,Cleaned to 50𝜇l,Qubit reading 1 (ng/uL),Qubit reading 2 (ng/uL),Qubit average,DNA in tube (ng),"uL for 0.5 ug DNA (if over 123 uL, use whole sample)",Amount of HPLC water to add,Normalized (Letter/# for rack for yes),Library made,Note,Old Qubit 1 ,Old Qubit 2,Collector,Collector number,Locality,County,State,Country,Latitude,Longitude,Source,GPS source,Verbatim latitude,Verbatim longitude
A16:12,Heuchera richardsonii,,WS,,77.9,74.8,76.35,9391.05,6.548788474,18.45121153,B,,,,,,,,,,,43.4175,-89.726944,,,"43°25'3"" N","89°43'37"" W"
A17-1,Heuchera richardsonii,,WS,,24.9,24.9,24.9,3062.7,20.08032129,4.919678715,x,,,,,,,,,,,45.3975,-92.648056,,,"45°23'51"" N","92°38'53"" W"
A17-2,Heuchera richardsonii,,WS,,10.2,10.5,10.35,1273.05,48.30917874,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,45.3975,-92.648056,,,"45°23'51"" N","92°38'53"" W"
A17-3,Heuchera richardsonii,,WS,,18.1,18.4,18.25,2244.75,27.39726027,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,45.3975,-92.648056,,,"45°23'51"" N","92°38'53"" W"
A17-4,Heuchera richardsonii,,WS,,19.3,19.4,19.35,2380.05,25.83979328,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,45.3975,-92.648056,,,"45°23'51"" N","92°38'53"" W"
A17-5,Heuchera richardsonii,,WS,,21.4,22.3,21.85,2687.55,22.88329519,2.116704805,x,,,,,,,,,,,45.3975,-92.648056,,,"45°23'51"" N","92°38'53"" W"
A17-6,Heuchera richardsonii,,WS,,12.1,12.3,12.2,1500.6,40.98360656,Vacuum centrifuge then add 25 uL,,1/31/2020,,,,,,,,,,45.3975,-92.648056,,,"45°23'51"" N","92°38'53"" W"
A17-7,Heuchera richardsonii,,WS,,21.9,17.6,19.75,2429.25,25.3164557,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,45.3975,-92.648056,,,"45°23'51"" N","92°38'53"" W"
A17-8,Heuchera richardsonii,,WS,,4.89,6.77,5.83,,,,x,,,,,,,,,,,45.3975,-92.648056,,,"45°23'51"" N","92°38'53"" W"
A17-9,Heuchera richardsonii,,WS,,43,51,47,5781,10.63829787,14.36170213,A,2/1/20,,,,,,,,,,45.3975,-92.648056,,,"45°23'51"" N","92°38'53"" W"
A2-1,Heuchera americana var. americana,,AL,,NA,NA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,,,,,,,,,,33.3705556,-85.713056,,,"33°22'14"" N","85°42'47"" W"
A2-2,Heuchera americana var. americana,,AL,,NA,NA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,,,,,,,,,,33.3705556,-85.713056,,,"33°22'14"" N","85°42'47"" W"
A2-3,Heuchera americana var. americana,,AL,,24.9,24.4,24.65,3031.95,20.28397566,4.716024341,x,,,,,,,,,,,33.3705556,-85.713056,,,"33°22'14"" N","85°42'47"" W"
